Row","Well
Col",Content,Raw Data (280/330 1),Raw Data (280/330 1),Raw Data (280/330 1),Raw Data (280/330 1),Raw Data (280/330 1),Raw Data (280/330 1),Raw Data (280/330 1),Raw Data (280/330 1),Raw Data (280/330 1),Raw Data (280/330 1),Raw Data (280/330 1),Raw Data (280/330 1),Raw Data (280/330 1),Raw Data (280/330 3),Raw Data (280/330 3),Raw Data (280/330 3),Raw Data (280/330 3),Raw Data (280/330 3),Raw Data (280/330 3),Raw Data (280/330 3),Raw Data (280/330 3),Raw Data (280/330 3),Raw Data (280/330 3),Raw Data (280/330 3),Raw Data (280/330 3),Raw Data (280/330 3),Raw Data (280/330 5),Raw Data (280/330 5),Raw Data (280/330 5),Raw Data (280/330 5),Raw Data (280/330 5),Raw Data (280/330 5),Raw Data (280/330 5),Raw Data (280/330 5),Raw Data (280/330 5),Raw Data (280/330 5),Raw Data (280/330 5),Raw Data (280/330 5),Raw Data (280/330 5),Raw Data (280/330 7),Raw Data (280/330 7),Raw Data (280/330 7),Raw Data (280/330 7),Raw Data (280/330 7),Raw Data (280/330 7),Raw Data (280/330 7),Raw Data (280/330 7),Raw Data (280/330 7),Raw Data (280/330 7),Raw Data (280/330 7),Raw Data (280/330 7),Raw Data (280/330 7),Raw Data (280/330 9),Raw Data (280/330 9),Raw Data (280/330 9),Raw Data (280/330 9),Raw Data (280/330 9),Raw Data (280/330 9),Raw Data (280/330 9),Raw Data (280/330 9),Raw Data (280/330 9),Raw Data (280/330 9),Raw Data (280/330 9),Raw Data (280/330 9),Raw Data (280/330 9),Raw Data (280/330 11),Raw Data (280/330 11),Raw Data (280/330 11),Raw Data (280/330 11),Raw Data (280/330 11),Raw Data (280/330 11),Raw Data (280/330 11),Raw Data (280/330 11),Raw Data (280/330 11),Raw Data (280/330 11),Raw Data (280/330 11),Raw Data (280/330 11),Raw Data (280/330 11),Raw Data (280/330 13),Raw Data (280/330 13),Raw Data (280/330 13),Raw Data (280/330 13),Raw Data (280/330 13),Raw Data (280/330 13),Raw Data (280/330 13),Raw Data (280/330 13),Raw Data (280/330 13),Raw Data (280/330 13),Raw Data (280/330 13),Raw Data (280/330 13),Raw Data (280/330 13)
,,Time,0 min ,7 min 34 s,9 min 39 s,11 min 44 s,19 min 18 s,21 min 23 s,23 min 28 s,31 min 3 s,33 min 8 s,35 min 13 s,42 min 47 s,44 min 52 s,46 min 57 s,0 min ,7 min 34 s,9 min 39 s,11 min 44 s,19 min 18 s,21 min 23 s,23 min 28 s,31 min 3 s,33 min 8 s,35 min 13 s,42 min 47 s,44 min 52 s,46 min 57 s,0 min ,7 min 34 s,9 min 39 s,11 min 44 s,19 min 18 s,21 min 23 s,23 min 28 s,31 min 3 s,33 min 8 s,35 min 13 s,42 min 47 s,44 min 52 s,46 min 57 s,0 min ,7 min 34 s,9 min 39 s,11 min 44 s,19 min 18 s,21 min 23 s,23 min 28 s,31 min 3 s,33 min 8 s,35 min 13 s,42 min 47 s,44 min 52 s,46 min 57 s,0 min ,7 min 34 s,9 min 39 s,11 min 44 s,19 min 18 s,21 min 23 s,23 min 28 s,31 min 3 s,33 min 8 s,35 min 13 s,42 min 47 s,44 min 52 s,46 min 57 s,0 min ,7 min 34 s,9 min 39 s,11 min 44 s,19 min 18 s,21 min 23 s,23 min 28 s,31 min 3 s,33 min 8 s,35 min 13 s,42 min 47 s,44 min 52 s,46 min 57 s,0 min ,7 min 34 s,9 min 39 s,11 min 44 s,19 min 18 s,21 min 23 s,23 min 28 s,31 min 3 s,33 min 8 s,35 min 13 s,42 min 47 s,44 min 52 s,46 min 57 s
C,3,B2,145095,131431,131964,132480,128735,129477,131499,126445,128353,129561,124642,126993,126787,127959,122269,124483,126026,121055,122216,124712,119923,121193,123192,118603,118798,118927,119285,113599,114585,116154,110447,111006,112850,105750,106041,107480,101075,101753,101877,103849,97920,98787,99718,92747,93338,89388,80951,81833,83104,75540,76483,76498,77681,70814,71239,72243,67259,67476,68649,62900,62873,64180,60120,59764,59987,60175,56708,56732,58104,55209,55053,56384,53825,53836,54655,52800,52946,52849,54300,52152,52553,53632,52221,52154,53405,51795,51900,52362,51410,51100,50961
C,4,C3,173070,164912,166261,166914,161578,162770,163850,157506,159801,161669,155240,157151,157035,157663,150919,152916,155531,149125,150284,153004,147828,147714,150413,143052,143618,143390,144392,135919,136733,138529,131718,130824,133569,122751,123424,124623,117317,116905,116955,119482,110093,111246,111780,103974,103967,100886,89384,90807,91993,82546,83144,83289,85086,76312,76916,78203,71772,71738,73287,66910,67155,67989,63996,63424,63953,64265,60582,60325,62224,59127,59278,60330,58124,58320,58906,57545,57647,57001,58992,57403,57428,58620,57482,57261,58557,56842,57074,57693,56874,56410,56687
C,5,G12,149515,129096,129714,132614,127619,128673,128570,125836,126213,128097,122924,123738,123546,125108,120705,121222,123813,120223,120380,122505,118527,118595,121346,116458,117049,117578,117615,111587,112793,114230,108180,108442,111257,104866,104617,105820,99844,100177,100605,104007,96676,96916,97455,91506,92747,87539,80141,79442,81383,74214,75188,74615,77389,69028,69701,70301,65664,66182,66982,61239,62242,62820,58346,59498,58476,59539,56018,56697,58069,53725,53952,55799,52427,52299,53580,51264,50845,51342,53128,50856,50752,51439,49941,49652,50444,49147,49334,49370,48546,48485,48515
C,6,F9,138511,132288,132318,133253,128567,129710,130707,126362,127847,128988,124318,125953,125417,126560,121874,123182,124717,120829,121403,123479,117874,119370,121707,115699,116435,116407,116273,110407,111125,112628,106130,107430,109078,101312,102157,103363,96881,97673,96819,99606,91876,93143,93775,86409,87050,83504,74314,75501,76508,69281,69762,69929,71123,64674,64951,66042,60694,60842,61894,56645,57179,58176,54492,53765,54010,54993,51599,51637,53011,51111,50707,51524,49663,49261,50545,48971,49311,49057,50250,49073,49226,50399,49271,49410,50164,49097,49212,49622,48948,48700,48823
C,7,E11,188745,177431,177596,179048,174225,174187,176218,171413,172930,174097,168862,169460,168623,172834,164822,166387,168059,161905,164853,167105,159931,162527,163953,158163,157320,157055,158977,150072,153095,153774,145557,145839,147822,137583,138668,141444,131693,132085,131706,136853,126191,126496,127924,118062,119041,116757,102746,103730,106129,94713,95553,95746,96983,88376,89320,90392,82089,82670,84660,76494,77102,79429,73338,72874,73271,74503,69945,69811,73197,68633,68930,70510,67251,67112,68450,66188,65955,65953,68164,66252,66218,67462,66003,65472,66906,65450,65571,66138,64979,65004,64718
C,8,B4,162611,153349,153267,153639,149480,150170,151004,146573,148045,149165,145288,145354,145533,146325,141787,141652,143256,139987,139590,141409,136662,137583,138825,133704,132886,132162,133110,126862,125963,127420,120977,120777,122713,113494,114487,115571,107330,108240,108107,110719,100659,101561,102280,94486,94685,91971,82312,82959,84161,75307,76212,76390,77529,70071,70732,72049,66693,67124,68368,62712,63202,64095,59737,59270,59523,60482,57347,57382,58786,56586,55867,57403,55407,55313,56224,55078,54971,54826,56056,54697,54926,55539,54421,54445,55526,54394,54306,55162,54090,54096,53852
C,9,H3,122971,116167,116829,116919,113481,114335,115217,111859,112322,114371,109827,111155,111227,111988,108307,109099,110444,107106,108639,109491,105761,107604,108744,104525,104685,104854,104801,100520,100363,101805,95759,96484,98209,91965,92552,93204,87445,87641,88036,89609,83741,83615,84929,78689,78725,74928,67011,67426,68546,61252,61906,62371,63150,57193,57904,58451,53964,54229,54758,49714,49924,50960,47419,47486,47764,48310,45358,45210,46648,44309,44202,45190,43491,43710,44461,43127,43235,43306,44235,43438,43372,44229,43413,43212,43996,43483,43086,43559,42936,42892,42921
C,10,F7,148877,140311,139088,141727,137237,137446,139155,135065,135555,138817,132675,133352,133746,137214,129702,130499,134131,129000,129525,131732,127155,127599,130151,124271,125527,123328,125458,117768,117705,120777,112359,113715,116783,106117,107183,109205,100976,101466,101251,104575,96378,96925,98108,91305,90693,89531,78364,78862,80588,73186,74240,73882,74999,67743,68306,69472,64039,64866,65791,60621,60871,62606,58348,58105,59104,59751,57218,56634,59082,56199,56149,57722,55207,55190,56199,53851,53656,53656,55049,53956,53942,54564,53847,53854,54686,53566,53711,54031,53396,53131,52890
C,11,G8,82620,78471,78711,79032,77282,77775,78691,76692,76334,76825,75106,75713,75890,76267,74868,73983,75776,75046,75226,76425,74916,75130,76703,74294,73869,73853,74932,71462,71721,72569,69930,69307,70145,67006,66093,67452,64241,63727,63370,65247,61333,61839,62966,58693,59039,55230,49934,50444,51088,46700,47383,46884,48204,44433,44262,45417,41454,41765,41991,38730,38577,39446,36920,37299,37021,37563,35395,35517,36134,34609,34865,35366,33938,34101,34628,34077,33700,34031,34598,34412,34374,35190,34625,34355,35119,34379,34639,34877,34277,34161,34098
D,2,H1,136264,117768,119796,123068,122241,121448,124279,117325,118607,124550,116585,119526,116998,119888,115071,113086,117683,111786,114408,118326,112521,111136,114253,109600,109778,108254,108837,104822,101786,109217,101908,102380,106294,93492,97887,98408,89072,89366,89373,94387,85476,87617,91025,85488,83119,81242,73763,73519,77478,68438,67553,67196,71176,61821,63330,68570,59477,60736,60559,56004,56457,57664,53355,57633,53056,55773,51005,52205,56944,49452,52835,53459,49107,50081,50349,48124,48458,49616,50903,47795,47982,48578,48987,48832,49807,48324,47854,48240,46003,46011,46016
D,3,F6,190513,181659,182538,183949,177079,178630,180363,173009,175821,177354,170894,173078,173385,173650,166984,169102,170777,164382,165746,168774,162371,163289,165288,158125,158321,157779,158734,150603,150829,152572,144725,144504,146397,136069,136738,138030,127521,128725,128948,131099,120494,121152,122357,112404,112471,109621,97267,98236,100030,88915,89255,90094,90862,82037,82810,84177,77113,77697,79081,72478,72291,73598,68952,68560,69214,70130,65976,65664,67564,64700,64329,66055,63370,63158,64286,62289,62261,62491,64276,62516,62216,63479,62851,62456,63413,62287,62506,63003,61943,61747,61759
D,4,A1,173521,163999,164950,165711,159905,161752,163231,156304,159321,160839,153533,155850,156210,156653,148532,151040,153251,146550,147866,150410,142242,144340,146645,137845,139018,139042,139925,129527,131550,132567,124328,125441,126361,116089,118300,118619,109274,110052,109809,112509,103938,104208,106306,96569,97276,94673,83160,84347,85586,77082,77560,77826,78626,71971,72143,73808,68522,68359,69876,64259,64650,65660,62349,61651,62303,63002,60160,59826,61256,58996,58691,60069,58069,58413,58911,57961,57470,58066,59816,58427,58034,59157,58219,58235,59490,58531,58307,58948,58199,57977,57441
D,5,E2,152094,136800,137373,137600,131883,134109,136158,130025,131959,133265,127417,129575,130066,130811,124815,126750,129367,123279,126062,127906,122556,125044,126831,119420,120913,121638,121886,115480,116665,118261,112033,113064,114886,107410,108886,109738,103326,103928,103885,106459,99345,100753,102154,93829,95223,91871,82927,83818,85164,77194,77899,77901,79429,72241,73093,73949,68054,68481,69696,63905,64358,65045,61015,61043,61538,62281,58700,57959,60094,56885,56493,57587,55000,55197,56197,54477,54203,54010,55647,54200,53712,55086,53416,53180,54416,53133,52768,53552,52509,52214,52173
D,6,D6,22031,23688,23418,24788,24889,25115,25759,23728,23663,24326,21794,21624,21497,22006,21135,20950,21643,18947,18869,19453,17659,17827,18238,16843,16766,17246,17763,16388,16209,16773,16077,16239,16657,19016,19199,19342,18831,18521,18263,18991,18992,18707,19020,18806,18546,13749,13436,13366,13504,13437,13309,13368,13554,13415,13408,13638,13389,13464,13609,13483,13366,13679,13330,13415,13341,13600,13492,13469,13692,13749,13660,14101,14174,14211,14592,14572,14564,14586,15415,15681,15308,15971,16165,15980,16474,16474,16249,16719,16313,16209,16282
D,8,G5,244714,232500,234733,235511,228112,229888,233808,225598,227450,230878,220451,224114,224520,227708,216890,219393,223742,214386,215539,221139,212010,213254,216580,207501,208348,207258,208802,198163,199520,202936,192104,192364,195944,181570,183012,186132,171030,174145,173827,177953,164243,166352,168509,152778,154234,153067,134621,135551,138810,123016,124530,124749,126989,113413,114237,116540,105717,105534,108342,97436,98119,99140,91669,91199,92295,93250,86640,86218,88778,83599,83493,85558,81118,81857,82657,79729,79355,79268,82117,78730,79126,80444,78572,77962,80278,77931,77677,79231,77279,76827,77127
D,9,G4,104723,99683,100359,101616,96821,97913,99560,95085,96365,98039,94236,95545,95547,96550,91964,92906,95089,91909,92241,94838,91147,91110,93439,89763,89042,89694,90299,86053,86019,87447,83205,83427,84514,79364,79267,80462,75729,75784,75804,77226,71702,71974,72707,67909,67868,64018,57242,57938,58980,53394,53500,53665,54285,49717,50303,50991,47108,47262,47757,43865,44071,44865,41580,41809,42279,42591,40342,39987,41266,39320,39169,40116,38828,39000,39547,38641,38393,38522,39842,38760,38828,39516,38852,38811,39950,39425,39004,39401,38860,38654,38971
D,10,G2,146805,140611,140678,141126,137440,139044,139932,136284,137182,139061,135351,135196,135141,136789,132378,132230,134751,129887,130123,132723,127256,127448,130079,122942,122598,123159,123645,117442,116783,118150,112128,111905,113492,105496,105645,106746,100004,100290,100134,102265,95136,95602,96646,89081,89615,86104,77122,78490,79158,71111,71785,71667,73316,65966,66806,67615,61833,62425,63515,58167,58188,59860,55665,55545,55897,56447,53376,53065,54483,51643,51643,52867,50033,50454,51365,49995,49696,49930,51524,49955,49780,50785,49584,49173,50552,49484,49197,49810,49279,48510,48556
D,11,H6,138606,133366,133394,134716,130434,132325,133537,128924,129894,131910,127527,128714,128554,129902,125089,125752,127900,123553,124563,127254,121686,123570,125345,120121,120031,119459,120323,114298,114389,115538,109985,110333,111676,104382,105293,106884,99366,100030,99796,102034,95213,96088,97400,89617,90339,86994,77756,78330,80058,72218,72839,72438,73821,67032,67639,68985,63555,63539,64663,59460,59260,60572,56776,56588,56760,57654,54586,54058,56002,53646,53700,54876,52314,52556,53664,51913,51684,51597,53527,52081,51943,53205,52137,51791,53309,51929,51643,52806,51436,51524,51429
E,2,G9,132034,126377,127492,128184,124432,125758,125982,121360,122955,122937,120438,120712,120489,121315,116976,117056,118472,114906,114814,117456,113753,113735,115392,109259,109961,109535,110189,103809,104782,105647,100410,100812,101432,94579,95059,96066,88440,89509,89175,91010,84038,85234,85536,79526,79948,75823,67121,67740,68268,61413,61631,62486,63469,57648,58160,58993,54555,54722,55739,51429,51156,52287,49016,48881,49241,49622,47157,46926,48215,46158,45923,47599,45334,45632,46435,45498,45593,45560,47206,45828,45891,46864,45971,45924,46931,45676,45901,46161,45533,45766,45558
E,3,D11,127789,121473,122319,123874,118090,120521,121184,115407,117093,119619,113017,115735,116397,116840,110956,112949,114399,109876,111380,113797,108685,110030,111384,104813,106430,106084,106359,99999,100979,102178,96278,96636,98449,90970,91913,93032,85051,86757,86695,88786,82339,83355,84017,77911,78285,74712,67221,67996,69019,62376,62715,63231,63943,58812,59261,60001,55870,56251,57193,52874,52952,54079,50630,50632,50937,51582,48838,48642,49890,47622,47711,48827,46720,46896,47750,46375,46159,46279,47923,46435,46569,47383,46054,45759,46980,46404,46016,46370,45842,45750,45663
E,4,B7,154314,146821,148636,149712,143144,145503,147442,140171,142980,144936,137194,140347,141319,141671,134576,137340,139386,132507,135400,138148,130319,133008,136116,127430,129491,129599,130138,121290,123550,125057,117340,119137,120467,112020,113412,114128,106231,107215,106808,110286,100948,102437,103178,95157,96108,92328,82049,83618,84822,76256,76970,76879,78323,70839,71142,71627,66059,66809,67718,61231,61813,63023,58564,58748,59105,59749,56181,55922,57485,54812,54573,55601,53485,53534,54450,53330,53071,52527,54528,52829,52990,54125,52756,52715,53721,52649,52529,53118,52554,52064,51914
E,9,E4,86332,82718,82432,83662,80993,81223,82297,79289,80037,81628,77627,79249,78821,79821,75618,77236,78269,74609,76214,78570,75156,75387,76867,73369,73808,73550,73755,70527,70675,71405,68092,68190,68521,64680,64561,65179,61728,62004,61305,62686,58856,58816,59359,55765,56123,52037,47466,48034,48305,44433,44911,44698,45651,42584,42891,43670,41243,41506,42303,39827,39658,41025,38990,38926,39323,39746,38083,38033,39462,38276,38023,39110,38073,38299,38762,38358,38238,37846,39816,38916,38874,39560,39125,39068,39933,39484,39249,39757,39412,39221,38927
E,10,F2,200914,190927,192649,192756,186147,188928,190499,184322,186061,187546,180925,181690,182900,183305,176118,176551,179773,171931,172663,176230,167684,168756,171639,162370,162669,162902,163370,153449,153207,155633,146445,145935,147836,136824,137767,139069,128958,129286,129082,131555,122656,122998,124565,114946,115353,112150,100104,101106,102493,92797,93332,93624,94959,87096,87955,89165,83040,83374,84469,78242,78189,79175,74817,74737,75479,76341,71754,71382,73034,69691,69586,71051,68359,68225,69365,66982,66998,67242,68957,66828,67048,68243,66259,65553,67325,65265,65386,66252,64848,64773,64546
E,11,H2,144365,138062,138478,139646,135152,137141,137477,132966,135521,137337,132742,133579,133925,134835,130176,131412,133337,129670,130260,133668,128919,129480,131556,126272,126495,126099,126361,121651,121220,123053,117504,117711,119039,112198,112622,114019,107045,107143,106879,109450,103136,103651,104528,96884,96872,93816,84113,85231,86102,78299,79286,79407,80659,73174,74025,75019,69483,70103,70916,65156,65935,66272,61727,62031,62646,62500,58856,59048,60141,57259,57199,58709,55498,55406,56549,54463,54382,54483,55648,53749,53253,54830,53279,52932,54191,52367,52157,52584,51503,51296,51194
F,2,F5,151870,144927,145182,149531,142703,143811,147296,141088,142697,144938,138609,139706,139773,142894,135284,136787,140687,134153,135367,140059,133247,134430,137582,130743,131591,131373,132483,126390,125917,128165,122128,121771,123972,114971,115656,117465,107216,109183,109377,112265,103156,104624,105606,97747,97578,95854,84420,85494,87298,78373,77789,78154,79756,72299,72291,72818,66713,67358,68876,62877,63034,63939,59151,59521,60014,60111,56458,56520,57895,55325,54882,56391,53885,53974,55485,53244,53824,53933,55468,53715,53618,55049,53624,53288,54525,53780,53462,53714,53348,52417,52931
F,3,H11,91606,87511,88312,89340,85028,85738,87871,82843,84619,86008,81786,83355,83832,84865,80500,81949,84074,80397,80939,83227,80153,81159,82581,78293,79019,78959,78948,75788,75668,76440,73280,72883,74190,69144,69879,70204,66834,66754,66279,68006,63631,64528,65085,61021,61157,57144,52047,52174,52979,48169,48856,48973,49677,45875,46072,46634,43761,44024,44626,41506,41113,42169,39815,39628,40087,40468,38332,38188,39170,37704,37522,38435,36951,37093,37947,36657,36714,36472,37915,36922,37006,38034,37020,37017,37987,37299,37049,37771,36964,36782,36599
F,4,A10,163397,154862,156959,158322,150780,153245,155563,147617,151052,153573,146322,149396,150157,150873,143137,147240,148902,141817,145274,148197,140059,142612,145356,137466,139730,139129,139977,132022,133033,134799,126076,128056,128892,119448,120550,122058,112763,114348,113482,116830,107612,108571,109588,100032,101018,97788,86478,87178,88634,78716,78959,79560,80545,73096,73235,74833,68671,68256,69777,63698,64136,65043,60483,59909,60446,60949,57746,57294,59283,56317,56192,57845,55430,55301,56878,54681,54680,54578,56567,55198,54616,56454,54886,54564,55752,55224,54577,55732,54821,54442,54174
F,5,F12,130202,123000,124746,125916,119535,121855,122741,116005,118703,119465,112783,115529,116222,116920,109354,111472,112996,106080,108538,111285,103292,106118,107448,99990,101537,101686,101682,94485,95856,96586,90932,91293,92313,84679,85566,86469,79583,80399,80363,82236,75963,76816,77225,70723,71409,67674,60823,61305,61965,56189,56585,57036,57523,52931,53529,54143,50865,50634,51859,48675,48539,49546,47266,47004,47424,47878,45937,46083,47045,45207,45399,46587,45363,44919,46162,45227,45102,45152,47036,45907,45738,46944,46358,46006,47230,46247,46048,46776,46143,45859,45585
F,6,C10,107034,101792,102094,103865,98859,101040,101946,97303,99181,100464,96405,98287,98283,99600,95300,96141,97953,93663,94958,99169,93647,94802,96891,92355,93119,92616,93866,88976,89641,90567,86725,87055,88244,82167,82912,83761,78538,79116,79312,81594,75789,76321,76990,72054,72217,68798,62372,62637,63707,57887,57480,58056,59211,54315,54775,55783,51943,51771,52669,48520,48718,49520,46667,46303,46362,46697,44127,44043,45546,43437,43178,44451,42589,42644,43599,42098,42421,42107,43665,42418,42202,43416,42516,42110,43200,42321,42141,42615,41752,41619,41637
F,7,F11,176999,170435,172336,173421,164573,167426,170179,162105,164492,168320,160247,163039,164619,166084,156403,159170,162895,154363,155996,161623,151641,153974,156906,147640,149705,148827,150268,141132,142093,144664,134805,136135,138801,127697,128755,130269,120759,122145,121844,125312,114747,116065,117907,107083,107532,105446,92695,93421,95081,85256,85451,86136,87148,79494,78793,81529,74938,74829,75926,70043,70734,72377,68155,67675,67485,68835,64790,64937,66182,63542,63863,65523,62745,62595,64453,62406,62076,62488,64510,62462,62446,63981,62415,62481,63882,62368,62149,63421,62117,61689,61885
F,8,D3,143945,137754,138688,140449,134607,136628,137795,132345,134800,136510,130171,133295,133229,134027,127246,129899,131754,126777,128094,131783,124590,127113,128802,121558,123502,123429,124627,117395,118307,119545,112554,113656,115095,106940,107868,109098,101328,101787,101918,103974,96277,97271,98161,90555,91325,88208,79021,79339,80870,72869,73896,73626,74431,68205,68808,69725,64179,64794,65701,60440,60719,61557,57866,57585,57856,58738,54945,55059,56585,53565,53525,54851,51953,52202,53409,50997,51296,51154,53079,50736,50527,52176,50408,50132,51299,49876,49919,50367,49403,49237,49004
F,9,H10,171960,165930,166246,167424,161236,163132,164485,157657,159528,162192,155083,157256,158498,158753,151173,153490,156300,147315,150876,153163,145288,147596,150374,140450,142669,141996,142259,135298,136082,137717,127978,130369,131518,120777,122887,124216,114279,115008,115584,117678,108321,109216,110395,100596,101977,98117,87506,88317,89610,80326,80842,81468,81879,74556,75130,76293,69969,70434,71799,65975,65887,67066,63077,62650,63132,64021,60451,60391,61892,59341,59242,60672,58244,58166,59673,57691,57815,57648,59903,58061,57964,59551,58104,57898,59374,58242,58059,58835,57994,57762,57882
F,10,E3,172716,164110,166210,168243,161831,163958,164784,157741,160889,163458,156064,158720,158625,161095,151742,155019,158660,149394,152570,156512,147142,149894,153475,142147,145212,145270,146155,135395,137532,140265,130368,131909,133405,122638,124219,125660,116961,117778,117510,119309,109960,111726,112723,103047,104551,100938,89192,89949,92019,82129,82208,83063,84043,76189,76628,77363,71314,70856,72513,66747,67062,68259,63658,63625,62830,63181,60981,60334,62529,59361,59142,60952,58196,58557,60234,57629,57799,58418,60236,58575,58179,60026,58469,58079,59592,57212,57708,58069,57397,56914,56698
F,11,G10,111269,106296,107486,108128,103725,105635,106247,101841,103322,104208,99839,101453,101275,101752,96825,97490,99566,94633,95015,98109,92460,93647,94363,88643,89548,88997,89175,83801,83887,84497,79475,79861,80874,74535,74816,75642,70470,70164,70111,71519,66685,66737,67517,62180,62696,58611,52854,53148,53887,49827,50139,50226,50521,46937,47620,48273,45497,45914,46487,44113,43901,44732,42683,42621,42802,43067,41616,41775,42871,41487,41363,42570,41430,41188,42771,41465,41528,41553,43214,42167,41985,43642,42530,42561,43658,42955,42693,43597,42600,42557,42451
G,3,C5,124589,117853,121334,122573,114725,118070,120288,113325,115806,117976,112324,114057,115468,116615,109417,111925,113946,108419,110175,112749,107532,108816,110501,104074,105757,105837,105997,99760,100458,101105,94270,95929,97101,89473,90627,91698,83967,85329,85567,86421,79847,81185,81806,75366,75785,72186,64095,63945,65237,58932,59354,59531,59875,54760,55167,55717,52052,52134,52835,48906,48667,49569,46726,46383,47116,47286,44778,44500,46080,44375,44379,45264,44228,43916,45293,43842,43558,44019,45599,44629,44221,45470,45065,44690,45683,44778,45227,45821,44823,44760,44674
G,4,G3,124370,118966,120751,122770,116753,118936,121009,115409,117035,119196,113256,115847,117273,117792,111083,113887,116061,110583,113243,115539,110582,112178,113200,106737,109027,108842,108202,101985,103618,103987,98196,98813,99595,92395,93329,94044,87548,88313,88157,89638,82971,84351,84531,77363,78509,74189,66271,66898,67708,61335,61922,61948,62428,57534,57656,58370,54083,54165,55153,51273,51397,52317,49532,49290,49916,50045,48130,48002,49310,47493,47273,48701,47259,47418,48280,47003,47189,47469,48951,47462,47538,48645,47797,47753,49132,48267,47814,48553,47879,47812,47501
G,5,D4,107330,103008,105286,107189,100878,105934,106969,100654,104200,106503,98873,102780,102430,104063,96716,97870,103613,95712,97713,101764,94725,96587,101281,92497,94801,93925,97348,89688,89918,92859,85632,86354,89837,81062,82636,86211,78602,79354,79172,81887,74607,76624,77509,71583,72091,68234,61265,61065,61961,56367,56712,56476,57750,53268,52999,53844,50054,50116,50708,47621,47148,48904,45772,45953,46213,46724,43909,44094,45373,42799,43044,44042,42771,42518,43375,42209,41879,42196,43732,42566,42323,43795,42668,42663,43802,42948,42512,43320,42693,42588,42437
G,6,D12,15990,15388,15211,16363,16158,15970,16602,15953,15893,15872,15785,15740,15623,16507,16190,16231,17582,17227,17313,19604,19051,19118,20372,19621,19481,19479,20035,19516,19363,19613,19627,19145,20145,19204,19247,19610,19333,19000,18937,19425,19088,18829,19167,18838,18575,13477,13396,13458,13392,13314,13293,13235,13461,13453,13364,13419,13380,13448,13542,13329,13315,13644,13389,13449,13417,13625,13376,13276,13773,13781,13759,14351,14137,14168,14444,14538,14483,14485,15615,15533,15402,15996,16192,16018,16622,16518,16232,16542,16555,16303,16411
G,7,G7,111759,106268,108554,109340,103430,106823,107251,101699,103867,105626,98898,102452,102790,102697,96548,99714,101318,95682,97434,100310,94469,96443,98122,91665,93007,93100,92835,87160,87916,88901,83029,84260,84800,78761,79797,80303,74969,75563,75168,77049,72180,72140,72608,68457,68357,63881,58111,58938,58907,54023,54795,54595,55198,51254,51605,52021,49103,49491,49802,46980,46999,47863,45440,45113,45563,45466,43879,43745,44527,43058,42906,44169,42435,42487,43251,41972,41963,42331,43501,42277,42041,43279,42585,42143,43357,42555,42286,42844,42095,41877,41967
G,8,E7,56379,58222,58383,59116,54303,54006,53356,61511,60855,60999,59494,60135,59984,59941,56914,57583,58813,55102,56291,57805,53482,54466,55723,51611,52210,51972,51486,48859,49416,49467,47258,46972,46945,45220,45161,45173,43861,43633,43500,44445,42762,42271,42574,41095,40759,35904,33999,34306,34347,32782,33058,32931,33492,32347,32819,32800,32049,32321,32725,31581,32064,32429,31503,31849,31786,32080,31515,31468,32198,31898,31918,32433,31900,32382,32759,32230,32677,32545,33836,32961,33570,34098,33778,33686,34538,33896,34062,34466,33935,34012,34132
G,9,C4,125778,120288,122523,123573,117511,119745,122103,116207,118732,120354,114547,117431,117988,117747,111907,114448,116506,111798,113418,115705,110972,112119,113358,108158,109393,108688,108605,104319,103807,104509,100390,99903,100424,93752,94680,94530,88017,88824,88406,90145,83903,81855,84504,76959,78139,73804,65490,66668,67024,60176,60673,60715,61190,55557,56057,56666,52533,53089,53862,49666,50170,50663,47666,47698,47713,48149,45889,45986,47162,45119,45315,46486,44783,44586,45922,44509,44582,44874,46648,45156,45263,46515,45334,45187,46443,45789,45411,46503,45429,45235,45264
G,10,A4,115907,110694,113178,113177,109014,111861,112526,108415,110385,111042,106332,108474,109319,109766,104564,106478,107991,103369,104400,107604,102656,103714,105453,100240,100823,100687,100878,95687,95705,96534,91530,91781,92867,86794,86888,87528,81532,81678,81612,82865,77318,77278,77623,71921,72060,67587,60558,61341,61611,55771,56043,55821,56791,51479,52153,52225,48620,48802,49488,45927,46188,46880,44005,44010,44244,44553,42307,42305,43694,41957,41925,43046,41619,41662,42444,41577,41390,42028,43192,41902,41859,42868,42415,41944,43232,42364,42228,42985,42325,42109,41942
