Row","Well
Col",Content,Raw Data (280/330 1),Raw Data (280/330 1),Raw Data (280/330 1),Raw Data (280/330 1),Raw Data (280/330 1),Raw Data (280/330 1),Raw Data (280/330 1),Raw Data (280/330 1),Raw Data (280/330 1),Raw Data (280/330 1),Raw Data (280/330 1),Raw Data (280/330 1),Raw Data (280/330 1),Raw Data (280/330 3),Raw Data (280/330 3),Raw Data (280/330 3),Raw Data (280/330 3),Raw Data (280/330 3),Raw Data (280/330 3),Raw Data (280/330 3),Raw Data (280/330 3),Raw Data (280/330 3),Raw Data (280/330 3),Raw Data (280/330 3),Raw Data (280/330 3),Raw Data (280/330 3),Raw Data (280/330 5),Raw Data (280/330 5),Raw Data (280/330 5),Raw Data (280/330 5),Raw Data (280/330 5),Raw Data (280/330 5),Raw Data (280/330 5),Raw Data (280/330 5),Raw Data (280/330 5),Raw Data (280/330 5),Raw Data (280/330 5),Raw Data (280/330 5),Raw Data (280/330 5),Raw Data (280/330 7),Raw Data (280/330 7),Raw Data (280/330 7),Raw Data (280/330 7),Raw Data (280/330 7),Raw Data (280/330 7),Raw Data (280/330 7),Raw Data (280/330 7),Raw Data (280/330 7),Raw Data (280/330 7),Raw Data (280/330 7),Raw Data (280/330 7),Raw Data (280/330 7),Raw Data (280/330 9),Raw Data (280/330 9),Raw Data (280/330 9),Raw Data (280/330 9),Raw Data (280/330 9),Raw Data (280/330 9),Raw Data (280/330 9),Raw Data (280/330 9),Raw Data (280/330 9),Raw Data (280/330 9),Raw Data (280/330 9),Raw Data (280/330 9),Raw Data (280/330 9),Raw Data (280/330 11),Raw Data (280/330 11),Raw Data (280/330 11),Raw Data (280/330 11),Raw Data (280/330 11),Raw Data (280/330 11),Raw Data (280/330 11),Raw Data (280/330 11),Raw Data (280/330 11),Raw Data (280/330 11),Raw Data (280/330 11),Raw Data (280/330 11),Raw Data (280/330 11),Raw Data (280/330 13),Raw Data (280/330 13),Raw Data (280/330 13),Raw Data (280/330 13),Raw Data (280/330 13),Raw Data (280/330 13),Raw Data (280/330 13),Raw Data (280/330 13),Raw Data (280/330 13),Raw Data (280/330 13),Raw Data (280/330 13),Raw Data (280/330 13),Raw Data (280/330 13)
,,Time,0 min ,7 min 34 s,9 min 39 s,11 min 44 s,19 min 18 s,21 min 23 s,23 min 28 s,31 min 3 s,33 min 8 s,35 min 13 s,42 min 47 s,44 min 52 s,46 min 57 s,0 min ,7 min 34 s,9 min 39 s,11 min 44 s,19 min 18 s,21 min 23 s,23 min 28 s,31 min 3 s,33 min 8 s,35 min 13 s,42 min 47 s,44 min 52 s,46 min 57 s,0 min ,7 min 34 s,9 min 39 s,11 min 44 s,19 min 18 s,21 min 23 s,23 min 28 s,31 min 3 s,33 min 8 s,35 min 13 s,42 min 47 s,44 min 52 s,46 min 57 s,0 min ,7 min 34 s,9 min 39 s,11 min 44 s,19 min 18 s,21 min 23 s,23 min 28 s,31 min 3 s,33 min 8 s,35 min 13 s,42 min 47 s,44 min 52 s,46 min 57 s,0 min ,7 min 34 s,9 min 39 s,11 min 44 s,19 min 18 s,21 min 23 s,23 min 28 s,31 min 3 s,33 min 8 s,35 min 13 s,42 min 47 s,44 min 52 s,46 min 57 s,0 min ,7 min 34 s,9 min 39 s,11 min 44 s,19 min 18 s,21 min 23 s,23 min 28 s,31 min 3 s,33 min 8 s,35 min 13 s,42 min 47 s,44 min 52 s,46 min 57 s,0 min ,7 min 34 s,9 min 39 s,11 min 44 s,19 min 18 s,21 min 23 s,23 min 28 s,31 min 3 s,33 min 8 s,35 min 13 s,42 min 47 s,44 min 52 s,46 min 57 s
G,2,Negative control N,55981,57263,56219,56952,59719,59077,56928,57997,57016,57176,58041,56942,56949,58053,57884,57235,58883,58766,58297,60413,60707,60582,61005,60767,60194,60211,60625,59854,59820,60596,60417,59871,60750,59867,59688,60266,60938,59501,58954,61040,60877,59857,61002,60425,59601,55951,54519,55309,55808,54955,54785,54938,55809,54715,54873,55916,56506,56394,55823,55203,54711,55881,54953,54965,55208,55679,55335,55017,55989,55364,55250,56330,55694,55843,56711,56169,56371,56248,58127,57356,57177,58179,58414,57548,58481,58054,57611,58615,57881,57337,57555
B,3,C1,123987,113922,114035,113629,110217,110900,111061,108160,109023,109744,105924,106266,106313,106250,102697,103184,103159,101170,101315,101348,99598,99650,99541,96448,96594,96276,95914,91997,92061,92501,88181,88009,88601,83541,83745,83543,78769,78657,78042,79779,74740,75099,75394,70705,70742,66501,60599,60820,61152,56282,57254,57151,57508,53695,53758,54047,51122,51350,51286,48243,48686,48607,46793,46245,46558,46888,44800,44613,45198,44139,43847,44337,43385,43377,43836,43049,43252,43282,43636,43297,43424,43712,43474,43202,43877,43624,43260,43623,43431,43045,43023
B,4,F10,138227,130403,130961,131191,127549,128998,128798,125242,126131,126263,122781,124117,124477,124015,121015,121477,121999,119171,119536,120578,117667,118934,119679,115085,114591,113943,114518,109692,109527,110015,105287,105040,106002,99408,99447,100112,93463,93387,93512,95476,89451,89122,89977,83071,83591,79656,70598,71384,71904,65248,66056,65951,66441,62157,62660,63036,58305,58988,59019,54782,55142,55591,52748,52147,52627,52708,50628,50504,51147,49466,49875,49895,49017,48675,49404,48386,48284,48558,49134,49065,48729,49005,48804,48639,49186,48839,48878,48949,48199,48221,48381
B,5,F1,134660,121623,121633,121812,117222,118635,118466,114951,116120,116390,112977,113356,113111,113554,109623,110455,111413,108345,109286,110240,106331,107311,108591,104344,104379,104134,103903,99265,100017,99573,95337,95894,96594,89568,90074,91312,85075,84946,85002,87135,82012,81830,82504,76983,76975,73226,65458,65932,66674,60682,61220,61136,61737,56985,57194,57745,53843,54471,54505,51026,51231,51959,49122,49383,49110,49445,47923,47283,48179,46792,46889,47304,46139,46258,46691,45956,46064,46018,46396,46459,46422,46670,46682,46327,46643,46787,46361,46805,46351,46328,46373
B,6,G6,95316,90231,89771,90215,88555,88472,89181,86943,86994,87803,85591,86003,85800,86323,84019,84445,85368,83661,83855,84806,82816,83284,84304,80900,80980,80933,81653,77695,77656,78760,75342,75210,76245,71546,71540,72637,68320,68246,68109,70189,66366,65953,66446,62891,62621,58363,53522,53853,54672,51388,50726,50751,50992,48448,48475,49057,46375,45750,47052,43566,43328,43887,41971,41901,41391,41597,39899,39770,40677,39289,39174,39735,38750,38616,38971,38410,38285,38565,38803,38750,38744,38752,38757,38547,39028,38465,38566,38712,38250,37927,37856
B,7,D1,143799,136803,137255,137240,132776,134349,134663,130312,131627,132686,128770,129142,129619,130080,125332,126471,127577,123866,124255,125731,121459,122730,124262,118243,118986,118831,118559,112938,113597,114345,108692,108935,110633,102695,103266,104117,97790,97364,97595,99799,92781,93254,94751,86878,87365,83591,74874,75259,76370,69494,70006,69929,70923,64567,65036,65634,61179,61542,62483,57770,57810,58517,55217,55353,55673,55794,53366,53427,54111,52437,52374,53155,51726,51675,52029,51081,50999,50940,51812,51576,51362,51645,51089,50728,51519,51254,51187,51315,50708,50486,50618
B,8,A3,158590,149620,149927,151095,147126,147691,148296,143964,145125,145857,141965,142974,142358,143095,138765,139016,140789,136587,136768,138139,133082,134810,136605,129244,130238,130007,130949,123570,124657,125389,118969,119378,121115,113122,113551,114769,107795,108148,108234,110073,104401,104195,105112,97359,98076,94469,85450,85565,87172,78366,78079,79271,80332,73988,74145,75076,70102,70236,71436,66042,66054,67129,63566,63076,63213,63969,60499,60429,61438,59297,58973,59542,57356,57878,58210,56926,56331,56800,57249,56222,56325,57366,56012,55694,56385,55443,55341,55809,54658,54714,54584
B,9,G11,139262,131140,131106,131861,127539,128246,129498,124950,126019,127332,122706,123630,123461,123734,119256,119945,121725,118264,118131,120346,116109,116134,118508,113636,113622,113682,114199,108037,108456,109006,103806,104430,105805,98240,98795,99653,93297,93508,93688,95487,88768,89061,90787,84069,83511,79999,71621,72323,73325,65841,66114,66253,67170,61053,61660,62445,58125,58653,59223,54649,54647,55190,51952,51913,52001,52591,49946,49379,50566,48535,48626,49066,47757,47595,48502,47261,47109,47280,48082,47531,47562,47973,47201,47187,48247,47538,47625,47870,46834,46818,46841
B,10,B10,125131,120467,120723,121610,118369,119131,119447,116338,117168,118634,115629,116030,116476,117652,113868,114079,116153,113720,113923,115157,112323,113572,114813,110556,110515,109949,110677,105351,106208,107088,102339,102555,103457,97267,97081,98725,92681,93427,92885,95184,88724,89044,90862,84180,84497,80900,72893,73273,74684,67316,67593,68216,68920,63087,63253,63774,58771,59331,60497,55300,56103,56679,52919,52792,52977,53815,50942,50881,51710,49628,49500,50695,49016,48991,49595,48502,48508,48599,49314,48871,48940,49647,48960,49006,49344,48843,48583,49122,48608,48116,48229
C,2,D2,145368,138630,138239,139574,134797,136435,138211,133165,134892,135812,131393,132983,132817,134212,129397,129936,131730,127625,128067,130013,125994,125596,128185,122643,122978,122362,123173,116909,116377,117928,112395,112131,113519,106498,105988,106415,100017,100077,99666,101913,94272,94707,95805,88481,89351,85502,76949,77536,78045,71192,71600,71464,72388,66178,66397,66961,61793,62398,63318,57733,58313,59254,55491,55498,55538,56339,53096,52974,54244,52086,51842,53113,51101,51331,51892,50944,50647,50931,52478,50962,51187,51816,50739,50849,51963,51189,50654,51378,50188,50380,50340
